Año - mes,Dimensión valor,Cuenta,Imp. presupuestado,Imp. real,Desvio,Porcentaje de desviación
2023-06-01,Corralón 2 Matanza,Capacitación ,-15613.6,0.0,15613.6,-100.0
2023-07-01,Corralón 2 Matanza,Capacitación ,-16686.69,0.0,16686.69,-100.0
2023-08-01,Corralón 2 Matanza,Capacitación ,-17845.62,-5040.0,12805.62,-71.7577758576054
2023-04-01,Corralón 3 Barracas,Capacitación ,-13700.0,0.0,13700.0,-100.0
2023-05-01,Corralón 3 Barracas,Capacitación ,-14620.0,0.0,14620.0,-100.0
2023-06-01,Corralón 3 Barracas,Capacitación ,-15613.6,0.0,15613.6,-100.0
2023-07-01,Corralón 3 Barracas,Capacitación ,-16686.69,0.0,16686.69,-100.0
2023-08-01,Corralón 3 Barracas,Capacitación ,-17845.62,-5040.0,12805.62,-71.7577758576054
2023-04-01,Corralón 4 JC Paz,Capacitación ,-10275.0,0.0,10275.0,-100.0
2023-05-01,Corralón 4 JC Paz,Capacitación ,-10965.0,0.0,10965.0,-100.0
2023-06-01,Corralón 4 JC Paz,Capacitación ,-11710.2,0.0,11710.2,-100.0
2023-07-01,Corralón 4 JC Paz,Capacitación ,-12515.02,0.0,12515.02,-100.0
2023-08-01,Corralón 4 JC Paz,Capacitación ,-13384.22,-3780.0,9604.22,-71.7577864081732
2023-05-01,Desarrollo Institucional,Capacitación ,-5000.0,0.0,5000.0,-100.0
2023-08-01,Desarrollo Institucional,Capacitación ,-7000.0,0.0,7000.0,-100.0
2023-04-01,Área Social,Capacitación ,-20000.0,0.0,20000.0,-100.0
2023-05-01,Área Social,Capacitación ,-20000.0,0.0,20000.0,-100.0
2023-06-01,Área Social,Capacitación ,-25000.0,0.0,25000.0,-100.0
2023-07-01,Área Social,Capacitación ,-25000.0,0.0,25000.0,-100.0
2023-08-01,Área Social,Capacitación ,-25000.0,-11250.0,13750.0,-55.00000000000001
2023-04-01,Administración,Cargas sociales Administración,-917095.87,-734741.67,182354.2,-19.88387539025772
2023-05-01,Administración,Cargas sociales Administración,-1034516.96,-783084.06,251432.9,-24.30437679823054
2023-06-01,Administración,Cargas sociales Administración,-1551775.43,-1173826.62,377948.81,-24.355896007452564
2023-07-01,Administración,Cargas sociales Administración,-1134137.11,-867036.37,267100.74,-23.551009630572807
2023-08-01,Administración,Cargas sociales Administración,-1327227.53,-988239.54,338987.99,-25.541060770492003
2023-04-01,Desarrollo de Proyectos,Cargas sociales Administración,0.0,-64290.97,-64290.97,
